id,name,parent_id/id,property_stock_journal,property_stock_valuation_account_id,property_account_income_categ_id,property_account_expense_categ_id,property_stock_account_input_categ_id,property_stock_account_output_categ_id
__setup__.product_category_R0,Rabattgruppe 000,product.product_category_1,Stock Journal,,,,,
__setup__.product_category_R201,Rabattgruppe 201,product.product_category_1,Stock Journal,,,,,
__setup__.product_category_R202,Rabattgruppe 202,product.product_category_1,Stock Journal,,,,,
__setup__.product_category_R203,Rabattgruppe 203,product.product_category_1,Stock Journal,,,,,
__setup__.product_category_R204,Rabattgruppe 204,product.product_category_1,Stock Journal,,,,,
__setup__.product_category_R205,Rabattgruppe 205,product.product_category_1,Stock Journal,,,,,
__setup__.product_category_R206,Rabattgruppe 206,product.product_category_1,Stock Journal,,,,,
__setup__.product_category_R999,Rabattgruppe 999,product.product_category_1,Stock Journal,,,,,
__setup__.product_category_R0_001,Bewegungsmelder,__setup__.product_category_R0,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R0_002,Präsenzmelder,__setup__.product_category_R0,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R0_005,Dämmerungsschalter,__setup__.product_category_R0,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R0_008,Leuchtmittel,__setup__.product_category_R0,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R0_009,IR-Fernbedienung,__setup__.product_category_R0,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R0_010,Funk-Technik,__setup__.product_category_R0,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R0_019,Montagezubehör,__setup__.product_category_R0,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R0_020,Adapter-Set,__setup__.product_category_R0,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R0_021,AP-Gehäuse,__setup__.product_category_R0,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R0_026,Abdeckclips,__setup__.product_category_R0,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R0_027,Abdeck-Haube,__setup__.product_category_R0,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R0_028,Abdeckkleber,__setup__.product_category_R0,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R0_029,Anschlussklemme,__setup__.product_category_R0,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R0_031,Abdeckrahmen,__setup__.product_category_R0,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R0_032,Befestigungsplatte,__setup__.product_category_R0,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R0_033,Treppenhausautomat,__setup__.product_category_R0,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R0_034,Kabeleinführung,__setup__.product_category_R0,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R0_035,Leistungsteil,__setup__.product_category_R0,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R0_037,Montage-Sockel,__setup__.product_category_R0,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R0_040,Einbaugehäuse,__setup__.product_category_R0,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R0_050,Bus-Technik,__setup__.product_category_R0,Stock Journal,1230,3600,4620,4620,4620
__setup__.product_category_R0_090,Reparaturwesen,__setup__.product_category_R0,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R0_091,Muster/Werbematerial/Drucksachen,__setup__.product_category_R0,Stock Journal,1233,3600,6611,6611,6611
__setup__.product_category_R0_092,Schulungen/Veranstaltungen,__setup__.product_category_R0,Stock Journal,1260,3400,6621,6621,6621
__setup__.product_category_R0_093,Dienstleistungen,__setup__.product_category_R0,Stock Journal,1260,3400,5900,5900,5900
__setup__.product_category_R0_099,Lost & Found,__setup__.product_category_R0,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R0_101,Intelligente Leuchte,__setup__.product_category_R0,Stock Journal,1210,3000,4000,4000,4000
__setup__.product_category_R201_001,Bewegungsmelder,__setup__.product_category_R201,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R201_002,Präsenzmelder,__setup__.product_category_R201,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R201_009,IR-Fernbedienung,__setup__.product_category_R201,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R201_010,Funk-Technik,__setup__.product_category_R201,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R201_013,Minuterie,__setup__.product_category_R201,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R201_019,Montagezubehör,__setup__.product_category_R201,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R201_020,Adapter-Set,__setup__.product_category_R201,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R201_021,AP-Gehäuse,__setup__.product_category_R201,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R201_022,Eck-Sockel,__setup__.product_category_R201,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R201_023,Schutzgitter,__setup__.product_category_R201,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R201_024,Entstörkondensator,__setup__.product_category_R201,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R201_025,Wandhalterung,__setup__.product_category_R201,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R201_026,Abdeckclips,__setup__.product_category_R201,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R201_027,Abdeck-Haube,__setup__.product_category_R201,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R201_028,Abdeckkleber,__setup__.product_category_R201,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R201_029,Anschlussklemme,__setup__.product_category_R201,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R201_031,Abdeckrahmen,__setup__.product_category_R201,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R201_032,Befestigungsplatte,__setup__.product_category_R201,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R201_034,Kabeleinführung,__setup__.product_category_R201,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R201_037,Montage-Sockel,__setup__.product_category_R201,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R201_038,Sensorkopf,__setup__.product_category_R201,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R201_039,Verlängerungskabel,__setup__.product_category_R201,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R201_091,Muster/Werbematerial/Drucksachen,__setup__.product_category_R201,Stock Journal,1233,3600,6611,6611,6611
__setup__.product_category_R202_003,Automatikstrahler,__setup__.product_category_R202,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R202_004,Automatikleuchte,__setup__.product_category_R202,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R202_006,Andere Leuchten,__setup__.product_category_R202,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R202_007,Leuchtenglas,__setup__.product_category_R202,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R202_008,Leuchtmittel,__setup__.product_category_R202,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R202_011,Notleuchte,__setup__.product_category_R202,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R202_012,Leuchten-Sockel,__setup__.product_category_R202,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R202_019,Montagezubehör,__setup__.product_category_R202,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R202_022,Eck-Sockel,__setup__.product_category_R202,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R202_023,Schutzgitter,__setup__.product_category_R202,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R202_030,Fassung R7S,__setup__.product_category_R202,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R202_036,Montagebügel,__setup__.product_category_R202,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R203_001,Bewegungsmelder,__setup__.product_category_R203,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R203_003,Automatikstrahler,__setup__.product_category_R203,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R203_009,IR-Fernbedienung,__setup__.product_category_R203,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R203_101,Intelligente Leuchte,__setup__.product_category_R203,Stock Journal,1210,3000,4000,4000,4000
__setup__.product_category_R204_020,Adapter-Set,__setup__.product_category_R204,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R204_100,Intelligenter Lichtschalter,__setup__.product_category_R204,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R205_005,Dämmerungsschalter,__setup__.product_category_R205,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R206_001,Bewegungsmelder,__setup__.product_category_R206,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R999_021,AP-Gehäuse,__setup__.product_category_R999,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R999_031,Abdeckrahmen,__setup__.product_category_R999,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R999_032,Befestigungsplatte,__setup__.product_category_R999,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R999_033,Treppenhausautomat,__setup__.product_category_R999,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_R999_040,Einbaugehäuse,__setup__.product_category_R999,Stock Journal,1200,3200,4200,4200,4200
__setup__.product_category_sa_EKDIV,Einkauf Divers,product.product_category_all,Stock Journal,1510,6001,6001,6001,6001
__setup__.product_category_sa_PORTO,Porti und Verpackung,product.product_category_all,Stock Journal,,3807,6513,,
